commit,old_sign,new_sign
77b84c203e01f207488ffab87c9822b5f33736f1diff,static HttpRequest readFrom(InputStream in),"static HttpRequest readFrom(final InputStream in, final String encoding)"
77b84c203e01f207488ffab87c9822b5f33736f1diff,public SocketFactory getSocketFactory(ProxyInfo proxy),"protected SocketFactory getSocketFactory(final ProxyInfo proxy, final boolean ssl, final boolean trustAllCertificates)"
77b84c203e01f207488ffab87c9822b5f33736f1diff,"protected ActionInterceptor[] parseActionInterceptors(final Class<?> actionClass, final Method actionMethod)","protected ActionInterceptor[] parseActionInterceptors(final Class<?> actionClass, final Method actionMethod, final ActionConfig actionConfig)"
77b84c203e01f207488ffab87c9822b5f33736f1diff,"protected ActionFilter[] parseActionFilters(Class<?> actionClass, Method actionMethod)","protected ActionFilter[] parseActionFilters(final Class<?> actionClass, final Method actionMethod, final ActionConfig actionConfig)"
77b84c203e01f207488ffab87c9822b5f33736f1diff,public T[] resolveAll(Class<? extends T>[] wrapperClasses),"public T[] resolveAll(final ActionConfig actionConfig, Class<? extends T>[] wrapperClasses)"
77b84c203e01f207488ffab87c9822b5f33736f1diff,protected String resolveContentType(),protected String resolveContentType(final String contentType)
77b84c203e01f207488ffab87c9822b5f33736f1diff,"static void info(MethodVisitor mv, MethodInfo methodInfo)","static void info(final MethodVisitor mv, final MethodInfo methodInfo, final int argsOff)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,"static void copyDir(final File srcDir, final File destDir)","static void copyDir(File srcDir, File destDir, FileUtilParams params)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,static void delete(final File dest),"static void delete(File dest, FileUtilParams params)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final boolean[] booleanArray),"static int hash(int seed, boolean[] booleanArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final char[] charArray),"static int hash(int seed, char[] charArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final int[] intArray),"static int hash(int seed, int[] intArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final byte[] byteArray),"static int hash(int seed, byte[] byteArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final float[] floatArray),"static int hash(int seed, float[] floatArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,public HashCode hash(final double[] doubleArray),"static int hash(int seed, double[] doubleArray)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,"public void injectContext(Targets targets, C contextObject)","public void injectContext(Target target, ScopeData[] scopeData, C contextObject)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,"protected void injectAttributes(final Targets targets, final HttpServletRequest servletRequest)","protected void injectAttributes(Target[] targets, ScopeData[] injectData, HttpServletRequest servletRequest)"
5dcd7e2b9cf3649dd25e71660d1107db8645dc36diff,"protected void injectParameters(final Targets targets, final HttpServletRequest servletRequest)","protected void injectParameters(Target[] targets, ScopeData[] injectData, HttpServletRequest servletRequest)"
73bfa19e87e2c6acee63095008eeae4904d9c2b3diff,protected String resolveContentType(),protected String resolveContentType(final String contentType)
1bdd53a17f8aa63145fd27fe4069b32d23f6018adiff,"protected ActionFilter[] parseActionFilters(Class<?> actionClass, Method actionMethod)","protected ActionFilter[] parseActionFilters(Class<?> actionClass, Method actionMethod, ActionConfig actionConfig)"
1bdd53a17f8aa63145fd27fe4069b32d23f6018adiff,"protected void readMethodActionPath(ActionNames actionNames, String methodName, ActionAnnotationData annotationData)","protected void readMethodActionPath(ActionNames actionNames, String methodName, ActionAnnotationData annotationData, ActionConfig actionConfig)"
1bdd53a17f8aa63145fd27fe4069b32d23f6018adiff,public T[] resolveAll(Class<? extends T>[] wrapperClasses),"public T[] resolveAll(ActionConfig actionConfig, Class<? extends T>[] wrapperClasses)"
8747be9f7ada210783c223148603db27d45521f7diff,protected void configureMadvoc(),protected void configureMadvoc(MadvocConfig madvocConfig)
8747be9f7ada210783c223148603db27d45521f7diff,protected void configureMadvoc(),protected void configureMadvoc(MadvocConfig madvocConfig)
d4e0b30f96296414c9cef6dbd5293a8a1836e8efdiff,public void registerMadvocComponents(),public void registerMadvocComponents(ServletContext servletContext)
5b6adbc41e1c7e3d60c8d5812ab12aaddc998b2fdiff,public void registerMadvocComponents(),public void registerMadvocComponents(ServletContext servletContext)
b06269573f052a82966856e711d5116a9fb67627diff,public byte[] decode_Apache_Base64(),public byte[] decode_Apache_Base64(Blackhole blackhole)
b06269573f052a82966856e711d5116a9fb67627diff,public String encode_Jodd_Base64(),public String encode_Jodd_Base64(Blackhole blackhole)
b06269573f052a82966856e711d5116a9fb67627diff,public byte[] decode_Jodd_Base64(),public byte[] decode_Jodd_Base64(Blackhole blackhole)
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void checkFileCopy(File src, File dest)","static void checkFileCopy(File src, File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void doCopyFile(File src, File dest)","static void doCopyFile(File src, File dest, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static File copyFileToDir(File src, File destDir)","static File copyFileToDir(File src, File destDir, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void copyDir(File srcDir, File destDir)","static void copyDir(File srcDir, File destDir, FileUtilParams params)"
7470cf0a851cd09cc817bdc001e7ce4ecc103598diff,"static void doCopyDirectory(File srcDir, File destDir)","static void doCopyDirectory(File srcDir, File destDir, FileUtilParams params)"
